Wavenumber,Absorbance
2300.35718,-6541875.84
2298.42861,-6529464.12
2297.0,-6576023.06
2295.07144,-6551199.62
2293.14287,-6521699.3
2291.21431,-6489111.04
2289.28574,-6461199.66
2287.35718,-6465846.56
2285.42861,-6447228.98
2283.0,-6468934.5
2281.07144,-6568258.24
2279.14287,-6652082.32
2277.21431,-6670699.9
2275.28574,-6650523.36
2273.35718,-6628787.86
2271.42861,-6687758.52
2270.0,-6872435.32
2268.07144,-6990376.64
2266.14287,-6852258.78
2264.21431,-6555846.52
2262.28574,-6343258.34
2260.35718,-6315316.98
2258.42861,-6397552.12
2256.0,-6572935.12
2254.07144,-6776229.5
2252.14287,-6836759.12
2250.21431,-6745170.22
2248.28574,-6532582.04
2246.35718,-6326169.74
2244.42861,-6378934.54
2243.0,-6602405.46
2241.07144,-6619464.08
2239.14287,-6444111.06
2237.21431,-6388258.32
2235.28574,-6442552.1
2233.35718,-6445670.02
2231.42861,-6447228.98
2229.0,-6510846.54
2227.07144,-6521699.3
2225.14287,-6375846.6
2223.21431,-6220640.14
2221.28574,-6307552.16
2219.35718,-6630346.82
2217.42861,-6853817.74
2216.0,-6801052.94
2214.07144,-6707935.06
2212.14287,-6664494.04
2210.21431,-6549640.66
2208.28574,-6478258.28
2206.35718,-6560493.42
2204.42861,-6695523.34
2202.0,-6765346.76
2200.07144,-6816582.58
2198.14287,-6880200.14
2196.21431,-6830523.28
2194.28574,-6624140.96
2192.35718,-6405316.94
2190.42861,-6340140.42
2189.0,-6389787.3
2187.07144,-6382052.46
2185.14287,-6229963.92
2183.21431,-6039081.26
2181.28574,-5967698.88
2179.35718,-5998728.18
2177.42861,-5845110.66
2175.0,-5199581.3
2173.07144,-4024964.9
2171.14287,-2565004.856
2169.21431,-1313073.034
2167.28574,-762385.404
2165.35718,-888034.582
2163.42861,-1370469.744
2162.0,-2006507.436
2160.07144,-2681360.234
2158.14287,-3328319.64
2156.21431,-3902376.68
2154.28574,-4346140.64
2152.35718,-4580434.34
2150.42861,-4572699.5
2148.0,-4484258.5
2146.07144,-4521493.66
2144.14287,-4710787.38
2142.21431,-4997845.88
2140.28574,-5314404.7
2138.35718,-5551816.32
2136.42861,-5739581.06
2135.0,-5987875.42
2133.07144,-6174081.2
2131.14287,-6223758.06
2129.21431,-6262552.18
2127.28574,-6257905.28
2125.35718,-6170993.26
2123.42861,-6197375.66
2121.0,-6427052.44
2119.07144,-6673787.84
2117.14287,-6735876.42
2115.21431,-6709494.02
2113.28574,-6791729.16
2111.35718,-6920553.22
2109.42861,-6920553.22
2108.0,-6822788.44
2106.07144,-6749847.1
2104.14287,-6718787.82
2102.21431,-6695523.34
2100.28574,-6679993.7
2098.35718,-6670699.9
2096.42861,-6698611.28
2094.0,-6801052.94
2092.07144,-6791729.16
2090.14287,-6566699.28
2088.21431,-6447228.98
2086.28574,-6642758.54
2084.35718,-6948494.58
2082.42861,-7130053.46
2081.0,-7114553.8
2079.07144,-6996582.5
2077.14287,-6878641.18
2075.21431,-6756052.96
2073.28574,-6653611.3
2071.35718,-6619464.08
2069.42861,-6669140.94
2067.0,-6703288.16
2065.07144,-6634993.72
2063.14287,-6599317.52
2061.21431,-6724993.68
2059.28574,-6877082.22
2057.35718,-6942288.72
2055.42861,-6948494.58
2054.0,-6901935.64
2052.07144,-6827435.34
2050.14287,-6791729.16
2048.21431,-6732758.5
2046.28574,-6619464.08
2044.35718,-6526376.18
2042.42861,-6518611.36
2040.0,-6681552.66
2038.07144,-6864670.5
2036.14287,-6762258.82
2034.21431,-6571376.16
2032.28574,-6653611.3
2030.35718,-6787082.26
2028.42861,-6700170.24
2027.0,-6634993.72
2025.07144,-6872435.32
2023.14287,-7116082.78
2021.21431,-7007465.24
2019.28574,-6804140.88
2017.35718,-6816582.58
2015.42861,-6852258.78
2013.0,-6762258.82
2011.07144,-6703288.16
2009.14287,-6801052.94
2007.21431,-6953141.48
2005.28574,-6954700.44
2003.35718,-6828994.3
2001.42861,-6794847.08
2000.0,-6923641.16
