Wavenumber,Absorbance
3998,0.00102
3996.07144,0.00103
3994.14287,0.00103
3992.21431,0.00103
3990.28574,0.00102
3988.35718,0.00102
3986.42861,0.00102
3984,0.00102
3982.07144,0.00102
3980.14287,0.00103
3978.21431,0.00103
3976.28574,0.00103
3974.35718,0.00102
3972.42861,0.00101
3971,0.00102
3969.07144,0.00103
3967.14287,0.00102
3965.21431,0.00101
3963.28574,9.96E-04
3961.35718,9.97E-04
3959.42861,0.001
3957,0.00101
3955.07144,0.00102
3953.14287,0.00103
3951.21431,0.00104
3949.28574,0.00103
3947.35718,0.00101
3945.42861,0.001
3944,0.00101
3942.07144,0.00101
3940.14287,0.00101
3938.21431,0.00101
3936.28574,0.00101
3934.35718,0.00101
3932.42861,0.00101
3930,0.00101
3928.07144,0.00102
3926.14287,0.00102
3924.21431,0.00101
3922.28574,9.96E-04
3920.35718,9.97E-04
3918.42861,0.00101
3917,0.00101
3915.07144,0.00101
3913.14287,0.00101
3911.21431,0.00102
3909.28574,0.00102
3907.35718,0.00103
3905.42861,0.00103
3903,0.00103
3901.07144,0.00103
3899.14287,0.00102
3897.21431,0.00101
3895.28574,0.00101
3893.35718,0.00102
3891.42861,0.00102
3890,0.00102
3888.07144,0.00101
3886.14287,0.00101
3884.21431,9.97E-04
3882.28574,9.88E-04
3880.35718,9.86E-04
3878.42861,9.96E-04
3876,0.00101
3874.07144,0.00103
3872.14287,0.00103
3870.21431,0.00102
3868.28574,0.00102
3866.35718,0.00102
3864.42861,0.00102
3863,0.00102
3861.07144,0.00101
3859.14287,0.00101
3857.21431,0.00101
3855.28574,0.00101
3853.35718,0.00101
3851.42861,0.00101
3849,0.001
3847.07144,0.001
3845.14287,0.00101
3843.21431,0.00101
3841.28574,0.00101
3839.35718,0.00101
3837.42861,0.001
3836,9.97E-04
3834.07144,9.95E-04
3832.14287,9.99E-04
3830.21431,0.00101
3828.28574,0.00102
3826.35718,0.00103
3824.42861,0.00103
3822,0.00102
3820.07144,0.00102
3818.14287,0.00102
3816.21431,0.00101
3814.28574,0.00101
3812.35718,0.00101
3810.42861,0.00101
3809,0.001
3807.07144,0.001
3805.14287,0.00101
3803.21431,0.00101
3801.28574,0.00101
3799.35718,0.001
3797.42861,0.001
3795,0.001
3793.07144,0.001
3791.14287,0.001
3789.21431,0.001
3787.28574,0.001
3785.35718,0.001
3783.42861,0.00101
3782,0.001
3780.07144,0.001
3778.14287,0.001
3776.21431,0.001
3774.28574,0.001
3772.35718,0.001
3770.42861,0.00101
3768,0.001
3766.07144,9.98E-04
3764.14287,0.001
3762.21431,0.00101
3760.28574,0.00101
3758.35718,0.001
3756.42861,0.00101
3755,0.00102
3753.07144,0.00102
3751.14287,0.00101
3749.21431,0.00101
3747.28574,0.00101
3745.35718,0.00101
3743.42861,0.00101
3741,0.00101
3739.07144,0.001
3737.14287,9.97E-04
3735.21431,1.00E-03
3733.28574,0.001
3731.35718,9.99E-04
3729.42861,0.001
3728,0.00101
3726.07144,0.00102
3724.14287,0.00102
3722.21431,0.00102
3720.28574,0.00102
3718.35718,0.00101
3716.42861,0.00101
3714,0.00101
3712.07144,0.00101
3710.14287,0.00102
3708.21431,0.00101
3706.28574,0.00101
3704.35718,0.001
3702.42861,0.00101
3701,0.00101
3699.07144,0.00102
3697.14287,0.00102
3695.21431,0.00102
3693.28574,0.00101
3691.35718,0.001
3689.42861,0.001
3687,0.00101
3685.07144,0.00101
3683.14287,0.00101
3681.21431,0.00101
3679.28574,0.00101
3677.35718,0.00101
3675.42861,0.00101
3674,0.00101
3672.07144,0.00102
3670.14287,0.00102
3668.21431,0.00102
3666.28574,0.00101
3664.35718,0.00101
3662.42861,0.00101
3660,0.00101
3658.07144,0.00102
3656.14287,0.00102
3654.21431,0.00101
3652.28574,0.00101
3650.35718,0.00101
3648.42861,0.00101
3647,0.00101
3645.07144,0.00101
3643.14287,0.00101
3641.21431,0.00102
3639.28574,0.00103
3637.35718,0.00103
3635.42861,0.00103
3633,0.00102
3631.07144,0.00102
3629.14287,0.00102
3627.21431,0.00102
3625.28574,0.00103
3623.35718,0.00103
3621.42861,0.00103
3620,0.00102
3618.07144,0.00102
3616.14287,0.00103
3614.21431,0.00103
3612.28574,0.00102
3610.35718,0.00102
3608.42861,0.00103
3606,0.00103
3604.07144,0.00103
3602.14287,0.00103
3600.21431,0.00102
3598.28574,0.00102
3596.35718,0.00102
3594.42861,0.00102
3593,0.00103
3591.07144,0.00103
3589.14287,0.00103
3587.21431,0.00103
3585.28574,0.00103
3583.35718,0.00103
3581.42861,0.00102
3579,0.00102
3577.07144,0.00102
3575.14287,0.00102
3573.21431,0.00101
3571.28574,0.00101
3569.35718,0.00101
3567.42861,0.00101
3566,0.00101
3564.07144,0.001
3562.14287,0.00101
3560.21431,0.00103
3558.28574,0.00104
3556.35718,0.00104
3554.42861,0.00104
3552,0.00103
3550.07144,0.00102
3548.14287,0.00102
3546.21431,0.00102
3544.28574,0.00103
3542.35718,0.00103
3540.42861,0.00103
3539,0.00103
3537.07144,0.00102
3535.14287,0.00102
3533.21431,0.00102
3531.28574,0.00102
3529.35718,0.00103
3527.42861,0.00104
3525,0.00104
3523.07144,0.00104
3521.14287,0.00103
3519.21431,0.00102
3517.28574,0.00102
3515.35718,0.00103
3513.42861,0.00103
3512,0.00104
3510.07144,0.00104
3508.14287,0.00104
3506.21431,0.00104
3504.28574,0.00103
3502.35718,0.00103
3500.42861,0.00103
3498,0.00103
3496.07144,0.00103
3494.14287,0.00104
3492.21431,0.00104
3490.28574,0.00104
3488.35718,0.00104
3486.42861,0.00105
3485,0.00104
3483.07144,0.00104
3481.14287,0.00103
3479.21431,0.00103
3477.28574,0.00104
3475.35718,0.00104
3473.42861,0.00104
3471,0.00105
3469.07144,0.00105
3467.14287,0.00105
3465.21431,0.00105
3463.28574,0.00105
3461.35718,0.00105
3459.42861,0.00105
3458,0.00104
3456.07144,0.00104
3454.14287,0.00104
3452.21431,0.00104
3450.28574,0.00104
3448.35718,0.00104
3446.42861,0.00103
3444,0.00103
3442.07144,0.00103
3440.14287,0.00104
3438.21431,0.00104
3436.28574,0.00105
3434.35718,0.00105
3432.42861,0.00106
3431,0.00105
3429.07144,0.00104
3427.14287,0.00103
3425.21431,0.00103
3423.28574,0.00104
3421.35718,0.00104
3419.42861,0.00104
3417,0.00104
3415.07144,0.00104
3413.14287,0.00105
3411.21431,0.00105
3409.28574,0.00104
3407.35718,0.00104
3405.42861,0.00104
3404,0.00104
3402.07144,0.00105
3400.14287,0.00106
3398.21431,0.00107
3396.28574,0.00106
3394.35718,0.00105
3392.42861,0.00104
3390,0.00104
3388.07144,0.00104
3386.14287,0.00105
3384.21431,0.00105
3382.28574,0.00105
3380.35718,0.00106
3378.42861,0.00106
3377,0.00106
3375.07144,0.00106
3373.14287,0.00105
3371.21431,0.00105
3369.28574,0.00105
3367.35718,0.00105
3365.42861,0.00105
3363,0.00104
3361.07144,0.00104
3359.14287,0.00104
3357.21431,0.00104
3355.28574,0.00104
3353.35718,0.00104
3351.42861,0.00104
3350,0.00105
3348.07144,0.00106
3346.14287,0.00106
3344.21431,0.00106
3342.28574,0.00105
3340.35718,0.00105
3338.42861,0.00104
3336,0.00104
3334.07144,0.00103
3332.14287,0.00103
3330.21431,0.00104
3328.28574,0.00104
3326.35718,0.00105
3324.42861,0.00105
3323,0.00106
3321.07144,0.00105
3319.14287,0.00104
3317.21431,0.00103
3315.28574,0.00103
3313.35718,0.00103
3311.42861,0.00103
3309,0.00103
3307.07144,0.00103
3305.14287,0.00103
3303.21431,0.00103
3301.28574,0.00104
3299.35718,0.00103
3297.42861,0.00102
3296,0.00102
3294.07144,0.00103
3292.14287,0.00103
3290.21431,0.00103
3288.28574,0.00103
3286.35718,0.00104
3284.42861,0.00104
3282,0.00103
3280.07144,0.00103
3278.14287,0.00103
3276.21431,0.00103
3274.28574,0.00103
3272.35718,0.00102
3270.42861,0.00103
3269,0.00102
3267.07144,0.00102
3265.14287,0.00102
3263.21431,0.00102
3261.28574,0.00103
3259.35718,0.00103
3257.42861,0.00103
3255,0.00103
3253.07144,0.00103
3251.14287,0.00103
3249.21431,0.00103
3247.28574,0.00103
3245.35718,0.00104
3243.42861,0.00103
3242,0.00103
3240.07144,0.00102
3238.14287,0.00101
3236.21431,0.00102
3234.28574,0.00102
3232.35718,0.00102
3230.42861,0.00102
3228,0.00102
3226.07144,0.00102
3224.14287,0.00102
3222.21431,0.00101
3220.28574,0.00101
3218.35718,0.00102
3216.42861,0.00101
3215,0.00101
3213.07144,0.00101
3211.14287,0.00101
3209.21431,0.00101
3207.28574,0.001
3205.35718,0.001
3203.42861,0.00101
3201,0.00102
3199.07144,0.00103
3197.14287,0.00102
3195.21431,0.00102
3193.28574,0.00102
3191.35718,0.00101
3189.42861,0.001
3188,0.001
3186.07144,0.001
3184.14287,0.00101
3182.21431,0.00101
3180.28574,0.00101
3178.35718,0.00101
3176.42861,0.00101
3174,0.00101
3172.07144,0.00101
3170.14287,0.00101
3168.21431,0.00101
3166.28574,0.00101
3164.35718,0.00101
3162.42861,0.00101
3161,0.00101
3159.07144,0.00101
3157.14287,0.00101
3155.21431,0.00101
3153.28574,0.00101
3151.35718,1.00E-03
3149.42861,0.001
3147,0.00101
3145.07144,0.00101
3143.14287,0.00101
3141.21431,0.00101
3139.28574,0.00101
3137.35718,0.00102
3135.42861,0.00102
3134,0.00101
3132.07144,0.00101
3130.14287,0.00101
3128.21431,0.00101
3126.28574,0.001
3124.35718,9.95E-04
3122.42861,9.89E-04
3120,9.87E-04
3118.07144,9.88E-04
3116.14287,9.93E-04
3114.21431,0.001
3112.28574,0.00101
3110.35718,0.00101
3108.42861,0.001
3107,9.93E-04
3105.07144,9.85E-04
3103.14287,9.83E-04
3101.21431,9.89E-04
3099.28574,9.95E-04
3097.35718,9.95E-04
3095.42861,9.93E-04
3093,9.93E-04
3091.07144,9.95E-04
3089.14287,9.95E-04
3087.21431,9.93E-04
3085.28574,9.92E-04
3083.35718,9.89E-04
3081.42861,9.83E-04
3080,9.80E-04
3078.07144,9.85E-04
3076.14287,9.94E-04
3074.21431,9.97E-04
3072.28574,9.95E-04
3070.35718,9.87E-04
3068.42861,9.77E-04
3066,9.75E-04
3064.07144,9.78E-04
3062.14287,9.76E-04
3060.21431,9.71E-04
3058.28574,9.72E-04
3056.35718,9.80E-04
3054.42861,9.87E-04
3053,9.90E-04
3051.07144,9.93E-04
3049.14287,9.97E-04
3047.21431,9.94E-04
3045.28574,9.87E-04
3043.35718,9.80E-04
3041.42861,9.77E-04
3039,9.81E-04
3037.07144,9.86E-04
3035.14287,9.88E-04
3033.21431,9.90E-04
3031.28574,9.95E-04
3029.35718,9.97E-04
3027.42861,9.92E-04
3026,9.86E-04
3024.07144,9.86E-04
3022.14287,9.90E-04
3020.21431,9.90E-04
3018.28574,9.84E-04
3016.35718,9.76E-04
3014.42861,9.71E-04
3012,9.70E-04
3010.07144,9.74E-04
3008.14287,9.78E-04
3006.21431,9.79E-04
3004.28574,9.78E-04
3002.35718,9.77E-04
3000.42861,9.74E-04
2999,9.73E-04
2997.07144,9.76E-04
2995.14287,9.76E-04
2993.21431,9.72E-04
2991.28574,9.69E-04
2989.35718,9.74E-04
2987.42861,9.83E-04
2985,9.89E-04
2983.07144,9.89E-04
2981.14287,9.87E-04
2979.21431,9.87E-04
2977.28574,9.88E-04
2975.35718,9.87E-04
2973.42861,9.87E-04
2972,9.87E-04
2970.07144,9.87E-04
2968.14287,9.87E-04
2966.21431,9.89E-04
2964.28574,9.90E-04
2962.35718,9.89E-04
2960.42861,9.91E-04
2958,9.98E-04
2956.07144,0.00101
2954.14287,0.00101
2952.21431,0.001
2950.28574,9.92E-04
2948.35718,9.89E-04
2946.42861,9.87E-04
2945,9.89E-04
2943.07144,9.89E-04
2941.14287,9.84E-04
2939.21431,9.81E-04
2937.28574,9.81E-04
2935.35718,9.81E-04
2933.42861,9.83E-04
2931,9.90E-04
2929.07144,9.93E-04
2927.14287,9.93E-04
2925.21431,9.94E-04
2923.28574,9.89E-04
2921.35718,9.81E-04
2919.42861,9.77E-04
2918,9.75E-04
2916.07144,9.81E-04
2914.14287,9.87E-04
2912.21431,9.87E-04
2910.28574,9.80E-04
2908.35718,9.74E-04
2906.42861,9.73E-04
2904,9.76E-04
2902.07144,9.76E-04
2900.14287,9.73E-04
2898.21431,9.71E-04
2896.28574,9.71E-04
2894.35718,9.71E-04
2892.42861,9.69E-04
2891,9.66E-04
2889.07144,9.67E-04
2887.14287,9.71E-04
2885.21431,9.72E-04
2883.28574,9.71E-04
2881.35718,9.71E-04
2879.42861,9.76E-04
2877,9.78E-04
2875.07144,9.78E-04
2873.14287,9.75E-04
2871.21431,9.71E-04
2869.28574,9.68E-04
2867.35718,9.66E-04
2865.42861,9.65E-04
2864,9.69E-04
2862.07144,9.73E-04
2860.14287,9.73E-04
2858.21431,9.73E-04
2856.28574,9.73E-04
2854.35718,9.73E-04
2852.42861,9.71E-04
2850,9.67E-04
2848.07144,9.65E-04
2846.14287,9.63E-04
2844.21431,9.57E-04
2842.28574,9.53E-04
2840.35718,9.55E-04
2838.42861,9.60E-04
2837,9.63E-04
2835.07144,9.64E-04
2833.14287,9.64E-04
2831.21431,9.62E-04
2829.28574,9.60E-04
2827.35718,9.56E-04
2825.42861,9.50E-04
2823,9.47E-04
2821.07144,9.50E-04
2819.14287,9.52E-04
2817.21431,9.52E-04
2815.28574,9.54E-04
2813.35718,9.58E-04
2811.42861,9.59E-04
2810,9.58E-04
2808.07144,9.61E-04
2806.14287,9.66E-04
2804.21431,9.63E-04
2802.28574,9.54E-04
2800.35718,9.50E-04
2798.42861,9.51E-04
2796,9.54E-04
2794.07144,9.52E-04
2792.14287,9.46E-04
2790.21431,9.44E-04
2788.28574,9.44E-04
2786.35718,9.47E-04
2784.42861,9.48E-04
2783,9.47E-04
2781.07144,9.45E-04
2779.14287,9.45E-04
2777.21431,9.44E-04
2775.28574,9.44E-04
2773.35718,9.48E-04
2771.42861,9.50E-04
2769,9.48E-04
2767.07144,9.52E-04
2765.14287,9.58E-04
2763.21431,9.61E-04
2761.28574,9.61E-04
2759.35718,9.58E-04
2757.42861,9.52E-04
2756,9.43E-04
2754.07144,9.36E-04
2752.14287,9.32E-04
2750.21431,9.33E-04
2748.28574,9.38E-04
2746.35718,9.43E-04
2744.42861,9.49E-04
2742,9.51E-04
2740.07144,9.49E-04
2738.14287,9.44E-04
2736.21431,9.39E-04
2734.28574,9.38E-04
2732.35718,9.42E-04
2730.42861,9.45E-04
2729,9.39E-04
2727.07144,9.36E-04
2725.14287,9.42E-04
2723.21431,9.50E-04
2721.28574,9.51E-04
2719.35718,9.48E-04
2717.42861,9.45E-04
2715,9.48E-04
2713.07144,9.49E-04
2711.14287,9.43E-04
2709.21431,9.35E-04
2707.28574,9.33E-04
2705.35718,9.33E-04
2703.42861,9.32E-04
2702,9.32E-04
2700.07144,9.33E-04
2698.14287,9.33E-04
2696.21431,9.33E-04
2694.28574,9.33E-04
2692.35718,9.38E-04
2690.42861,9.41E-04
2688,9.39E-04
2686.07144,9.39E-04
2684.14287,9.43E-04
2682.21431,9.45E-04
2680.28574,9.46E-04
2678.35718,9.45E-04
2676.42861,9.41E-04
2675,9.39E-04
2673.07144,9.39E-04
2671.14287,9.35E-04
2669.21431,9.33E-04
2667.28574,9.34E-04
2665.35718,9.34E-04
2663.42861,9.36E-04
2661,9.37E-04
2659.07144,9.36E-04
2657.14287,9.35E-04
2655.21431,9.38E-04
2653.28574,9.39E-04
2651.35718,9.40E-04
2649.42861,9.39E-04
2648,9.34E-04
2646.07144,9.30E-04
2644.14287,9.33E-04
2642.21431,9.37E-04
2640.28574,9.36E-04
2638.35718,9.35E-04
2636.42861,9.37E-04
2634,9.38E-04
2632.07144,9.35E-04
2630.14287,9.32E-04
2628.21431,9.31E-04
2626.28574,9.34E-04
2624.35718,9.34E-04
2622.42861,9.30E-04
2621,9.26E-04
2619.07144,9.28E-04
2617.14287,9.30E-04
2615.21431,9.33E-04
2613.28574,9.38E-04
2611.35718,9.40E-04
2609.42861,9.38E-04
2607,9.35E-04
2605.07144,9.34E-04
